Title,Link,Publication Date,Authors,Abstract,Preprocess Abstract
The ontology of videogames,https://link.springer.com/article/10.1007/s11229-024-04774-x,23 September 2024,Alexandre Declos,"What are the identity and persistence conditions of videogames? This paper surveys the contemporary philosophical literature on this topic. Specifically, I discuss various views which attempt to ground the identity of videogame works in their rules, in their algorithmic structure, in their source code, or in contextual parameters surrounding gameplay. While these proposals all have merits of their own, I argue that none of them are satisfactory. My conclusion is therefore negative: we still lack an adequate theoretical model to account for the identity and persistence conditions of videogames.",identity persistence conditions videogames paper surveys contemporary philosophical literature topic specifically discuss various views attempt ground identity videogame works rules algorithmic structure source code odds ratio contextual parameters surrounding gameplay proposals merits argue satisfactory conclusion negative lack adequate theoretical model account identity persistence conditions videogames
Children’s social problem-solving skills in playing videogames and traditional games: A systematic review,https://link.springer.com/article/10.1007/s10639-023-11663-2,22 February 2023,"Eyüp Yılmaz, Mark D. Griffiths","Playing games can be one of the most important activities for children to improve their social problem-solving (SPS) skills. Studies that have examined the empirical evidence of playing games concerning children’s SPS skills have tended to focus on the function of a single game. Therefore, an overview study is needed to generalize the data by the game content and production purpose. Twelve databases were systematically searched. Four basic criteria were sought for studies to be included. A total of 35 studies meeting all the inclusion criteria were reviewed. The results showed that (i) experimental designs were the most utilized, and (ii) more studies using active control groups are needed to compare the effectiveness of the game playing. In non-traditional games research, half of the videogames used in the studies reviewed and classified, were primarily produced for educational purposes, followed by serious games (30%) and entertainment games (20%). These three types of videogames were effective in promoting children’s SPS skills. Moreover, simulation games were the most preferred videogame genre utilized by the researchers. In studies using videogames, children’s SPS skills did not differ significantly by gender, whereas in a study using traditional games (non-video games), male participants’ problem-solving ability progressed significantly more than that of females. Almost all the studies concluded that playing both videogames and traditional games positively influenced children’s SPS skills. However, only three studies utilizing traditional games were conducted during the two-decade period (2000–2019) and more studies are needed for comparable and generalizable results.",playing games important activities children improve social problemsolving social problem solving skills studies examined empirical evidence playing games concerning childrens social problem solving skills tended focus function single game overview study needed generalize data game content production purpose databases systematically searched basic criteria sought studies included total studies meeting inclusion criteria reviewed results showed experimental designs utilized ii studies using active control groups needed compare effectiveness game playing nontraditional games research half videogames used studies reviewed classified primarily produced educational purposes followed games entertainment games types videogames effective promoting childrens social problem solving skills simulation games preferred videogame genre utilized researchers studies using videogames childrens social problem solving skills did differ significantly gender study using traditional games nonvideo games male participants problemsolving ability progressed significantly females studies concluded playing videogames traditional games positively influenced childrens social problem solving skills studies utilizing traditional games conducted twodecade period studies needed comparable generalizable results
Digital Supply Chain Management in the Videogames Industry: A Systematic Literature Review,https://link.springer.com/article/10.1007/s40869-020-00118-0,04 December 2020,"Stephen Kelly, Vojtech Klézl, John Israilidis, Neil Malone, Stuart Butler","As industries mature, they rely more heavily on supply chain management (SCM) to ensure effective operations leading to greater levels of organisational performance. SCM has been widely covered in many industrial areas and, in line with other burgeoning sectors such as Tourism, an industry focus provides the opportunity to look in-depth at the context-based factors that affect SCM. Developments in digital distribution and rapid technological innovations have resulted in an increased focus on Digital Supply Chains (DSCs), which bring about significant changes to how consumers, customers, suppliers, and manufacturers interact, affecting supply chain design and processes. Through a systematic review of the Videogames Industry Supply Chain Management literature, which serves as a pertinent contextual example of a DSC, we look at how supply chains are affected by structural, market and technological change, such as increased platformisation, disintermediation and the proliferation of digital distribution. We distil these findings into a new research agenda, which identifies themes in line with extant DSC research, provides a series of relevant practice recommendations and identifies opportunities for future research.",industries mature rely heavily supply chain management supply chain management ensure effective operations leading greater levels organisational performance supply chain management widely covered industrial areas line burgeoning sectors tourism industry focus provides opportunity look indepth contextbased factors affect supply chain management developments digital distribution rapid technological innovations resulted increased focus digital supply chains dscs bring significant changes consumers customers suppliers manufacturers interact affecting supply chain design processes systematic review videogames industry supply chain management literature serves pertinent contextual example digital supply chain look supply chains affected structural market technological change increased platformisation disintermediation proliferation digital distribution distil findings new research agenda identifies themes line extant digital supply chain research provides series relevant practice recommendations identifies opportunities future research
From Videogames to Teaching — Different Camera Perspectives in an Interactive Synchronous Online Tutorial,https://link.springer.com/article/10.1007/s40670-023-01833-9,20 July 2023,"David Niklas Boten, Nils Daum, Thomas Schutz, Sebastian Spethmann","The global COVID-19 pandemic has required clinical skills training to be transferred to an online format. An interactive synchronous online tutorial with different camera perspectives was developed. In a survey, 79% of the students preferred the first-person perspective, which allowed students to view the abdominal examination through the examiner’s eyes.",global coronavirus disease pandemic required clinical skills training transferred online format interactive synchronous online tutorial different camera perspectives developed survey students preferred firstperson perspective allowed students view abdominal examination examiners eyes
"Response to ‘Postdigital Videogames Literacies: Thinking With, Through, and Beyond James Gee’s Learning Principles’ (Bacalja et al. 2024)",https://link.springer.com/article/10.1007/s42438-024-00508-x,10 October 2024,James Paul Gee,,
Motivation Outcomes in Math-Related Videogames,https://link.springer.com/article/10.1007/s10758-020-09450-w,13 June 2020,"Daniel L. Hoffman, Seungoh Paek, Zhou Zhou, Selen Türkay","This study examined the relationship between elementary students’ domain-specific and game-specific motivations in the context of educational videogames. Using a quasi-experimental design, thirty (N = 30) sixth grade students were assigned to two groups based on their level of motivation for the domain of math (higher math motivation vs. lower math motivation). They then played a videogame involving mathematics fifteen times over a two-week period. During this time, participants’ in-game performances were recorded, along with their levels of motivation for the videogame and the domain of math. The results showed that the participants played the game at the same level of skill regardless of their initial level of motivation for the domain of math. Similarly, participants expressed high levels of interest, effort, pressure, and value for the game despite their varied levels of math motivation. However, the two groups reported significantly different levels of perceived competence involving the videogame. Further still, participants with lower levels of motivation for math reported a significant decrease in their self-reported ability perceptions in math, which did not occur for participants with higher levels of motivation for math. The study concludes with a discussion of the relationship between learners’ domain-specific and game-specific motivations and the implications for future game-based learning research.",study examined relationship elementary students domainspecific gamespecific motivations context educational videogames using quasiexperimental design thirty n sixth grade students assigned groups based level motivation domain math higher math motivation vs lower math motivation played videogame involving mathematics times twoweek period time participants ingame performances recorded levels motivation videogame domain math results showed participants played game level skill regardless initial level motivation domain math similarly participants expressed high levels effort pressure value game despite varied levels math motivation groups reported significantly different levels perceived competence involving videogame participants lower levels motivation math reported significant decrease selfreported ability perceptions math did occur participants higher levels motivation math study concludes discussion relationship learners domainspecific gamespecific motivations implications future gamebased learning research
Students’ perceptions about the use the videogames in secondary education,https://link.springer.com/article/10.1007/s10639-020-10122-6,29 January 2020,"Verónica Marín-Díaz, Begoña E. Sampedro-Requena, Magdalena López-Pérez","Working with videogames in class is becoming a normal reality which truly depends on the vision that the teacher possesses about it. But what do receptive students really think about the education mediated by videogames? The current paper introduces the assessment that a group of students from Secondary Education has done (N = 207) about the usage of videogames in the classes. Also, it allows drawing the user profile that the direct-grant schools present. The method used has been descriptive and correlated developed by means of a questionnaire composed by 37 items. The main result obtained shows that the students from the first courses in this educational level are more given to the usage of videogames for their curricular development. Also, we found significant differences in the use of video games in favour of men. Moreover, it is highlighted the profile of low videogames consumer that these students have, questioning whether this will be determined by the type of school in which this research has been carried out. Thus, we present a line of study that links the vision of the videogames and the type of school in which they are studied, since this, among other aspects, is determined by the family purchasing power.",working videogames class normal reality truly depends vision teacher possesses receptive students really think education mediated videogames current paper introduces assessment group students secondary education n usage videogames classes allows drawing user profile directgrant schools present method used descriptive correlated developed means questionnaire composed items main result obtained shows students courses educational level given usage videogames curricular development significant differences use video games favour men highlighted profile low videogames consumer students questioning determined type school research carried present line study links vision videogames type school studied aspects determined family purchasing power
"Videogame training increases clinical well-being, attention and hippocampal-prefrontal functional connectivity in patients with schizophrenia",https://link.springer.com/article/10.1038/s41398-024-02945-5,28 May 2024,"Maxi Becker, Djo J. Fischer, Simone Kühn, Jürgen Gallinat","Recent research shows that videogame training enhances neuronal plasticity and cognitive improvements in healthy individuals. As patients with schizophrenia exhibit reduced neuronal plasticity linked to cognitive deficits and symptoms, we investigated whether videogame-related cognitive improvements and plasticity changes extend to this population. In a training study, patients with schizophrenia and healthy controls were randomly assigned to 3D or 2D platformer videogame training or E-book reading (active control) for 8 weeks, 30 min daily. After training, both videogame conditions showed significant increases in sustained attention compared to the control condition, correlated with increased functional connectivity in a hippocampal-prefrontal network. Notably, patients trained with videogames mostly improved in negative symptoms, general psychopathology, and perceived mental health recovery. Videogames, incorporating initiative, goal setting and gratification, offer a training approach closer to real life than current psychiatric treatments. Our results provide initial evidence that they may represent a possible adjunct therapeutic intervention for complex mental disorders.",recent research shows videogame training enhances neuronal plasticity cognitive improvements healthy individuals patients schizophrenia exhibit reduced neuronal plasticity linked cognitive deficits symptoms investigated videogamerelated cognitive improvements plasticity changes extend population training study patients schizophrenia healthy controls randomly assigned d odds ratio d platformer videogame training odds ratio ebook reading active control weeks min daily training videogame conditions showed significant increases sustained attention compared control condition correlated increased functional connectivity hippocampalprefrontal network notably patients trained videogames improved negative symptoms general psychopathology perceived mental health recovery videogames incorporating initiative goal setting gratification offer training approach closer real life current psychiatric treatments results provide initial evidence represent possible adjunct therapeutic intervention complex mental disorders
Young videogamers and their approach to science inquiry,https://link.springer.com/article/10.1186/s40536-023-00178-4,31 July 2023,"Francesco Avvisati, Francesca Borgonovi","Written instructions seldom need to be read when playing videogames. Instead, gaming often involves early information foraging and expansive exploration behaviors. We use data from the Programme for International Student Assessment (PISA) to explore whether students who regularly play videogames (daily gamers) adopt behaviors that are typical of gaming while they complete a computer-based assessment of science and if such behaviors matter for performance in procedural science knowledge.",written instructions seldom need read playing videogames instead gaming involves early information foraging expansive exploration behaviors use data programme international student assessment programme international student assessment explore students regularly play videogames daily gamers adopt behaviors typical gaming complete computerbased assessment science behaviors matter performance procedural science knowledge
Toward emotional interactive videogames for children with autism spectrum disorder,https://link.springer.com/article/10.1007/s10209-020-00725-8,24 June 2020,"Sandra Baldassarri, Liliana Passerino, Silvia Ramis, Inma Riquelme, Francisco J. Perales","Technology and videogames have been proven as motivating tools for working attention and complex communication skills, especially in children with autism spectrum disorder (ASD). In this work, we present two experiences that used interactive games for promoting communication and attention. The first game considers emotions in order to measure children’s attention, concentration and satisfaction, while the second uses tangible tabletops for fostering cognitive planning. The analysis of the results obtained allows to propose a new study integrating both, in which the tangible interactive game is complemented with the emotional trainer in a way that allows identifying and classifying children’s emotion with ASD when they collaborate to solve cognitively significant and contextualized challenges. The first application proposed is an emotional trainer application in which the child can work out the seven basic emotions (happiness, sadness, fear, disgust, anger, surprise and neutral). Further, a serious videogame is proposed: a 3D maze where the emotions can be captured. The second case study was carried out in a Special Education Center, where a set of activities for working cognitive planning was proposed. In this case, a tangible interactive tabletop was used to analyze, in students with ASD, how the communication processes with these interfaces affect to the attention, memory, successive and simultaneous processing that compose cognitive planning from the PASS model. The results of the first study, suggest that the autistic children did not act with previous planning, but they used their perception to adjust their actions a posteriori (that explains the higher number of collisions). On the second case study, the successive processing was not explored. The inclusion of the mazes of case study 1 to a semantic rich scenario could allow us to measure the prior planning and the emotions involved in the maze game. The new physiological sensors will also help to validate the emotions felt by the children. The first study has as objective the capability to imitate emotions and resolve a maze without semantic context. The second study organized all the actions from a semantic context close to users. The attention results presented by the second study are coherent with the first study and complement it showing that attention can be receptive or selective. In the first study case, the receptive attention was the focus of analysis. In the second case, both contributed to explain and understand how it can be developed from a videogame.",technology videogames proven motivating tools working attention complex communication skills especially children autism spectrum disorder autism spectrum disorder work present experiences used interactive games promoting communication attention game considers emotions order measure childrens attention concentration satisfaction second uses tangible tabletops fostering cognitive planning analysis results obtained allows propose new study integrating tangible interactive game complemented emotional trainer way allows identifying classifying childrens emotion autism spectrum disorder collaborate solve cognitively significant contextualized challenges application proposed emotional trainer application child work seven basic emotions happiness sadness fear disgust anger surprise neutral videogame proposed d maze emotions captured second case study carried special education center set activities working cognitive planning proposed case tangible interactive tabletop used analyze students autism spectrum disorder communication processes interfaces affect attention memory successive simultaneous processing compose cognitive planning planning attention simultaneous successive model results study suggest autistic children did act previous planning used perception adjust actions posteriori explains higher number collisions second case study successive processing explored inclusion mazes case study semantic rich scenario allow united states measure prior planning emotions involved maze game new physiological sensors help validate emotions felt children study objective capability imitate emotions resolve maze semantic context second study organized actions semantic context close users attention results presented second study coherent study complement showing attention receptive odds ratio selective study case receptive attention focus analysis second case contributed explain understand developed videogame
