Title,Link,Publication Date,Authors,Abstract
The ontology of videogames,https://link.springer.com/article/10.1007/s11229-024-04774-x,23 September 2024,Alexandre Declos,"What are the identity and persistence conditions of videogames? This paper surveys the contemporary philosophical literature on this topic. Specifically, I discuss various views which attempt to ground the identity of videogame works in their rules, in their algorithmic structure, in their source code, or in contextual parameters surrounding gameplay. While these proposals all have merits of their own, I argue that none of them are satisfactory. My conclusion is therefore negative: we still lack an adequate theoretical model to account for the identity and persistence conditions of videogames."
Children’s social problem-solving skills in playing videogames and traditional games: A systematic review,https://link.springer.com/article/10.1007/s10639-023-11663-2,22 February 2023,"Eyüp Yılmaz, Mark D. Griffiths","Playing games can be one of the most important activities for children to improve their social problem-solving (SPS) skills. Studies that have examined the empirical evidence of playing games concerning children’s SPS skills have tended to focus on the function of a single game. Therefore, an overview study is needed to generalize the data by the game content and production purpose. Twelve databases were systematically searched. Four basic criteria were sought for studies to be included. A total of 35 studies meeting all the inclusion criteria were reviewed. The results showed that (i) experimental designs were the most utilized, and (ii) more studies using active control groups are needed to compare the effectiveness of the game playing. In non-traditional games research, half of the videogames used in the studies reviewed and classified, were primarily produced for educational purposes, followed by serious games (30%) and entertainment games (20%). These three types of videogames were effective in promoting children’s SPS skills. Moreover, simulation games were the most preferred videogame genre utilized by the researchers. In studies using videogames, children’s SPS skills did not differ significantly by gender, whereas in a study using traditional games (non-video games), male participants’ problem-solving ability progressed significantly more than that of females. Almost all the studies concluded that playing both videogames and traditional games positively influenced children’s SPS skills. However, only three studies utilizing traditional games were conducted during the two-decade period (2000–2019) and more studies are needed for comparable and generalizable results."
Digital Supply Chain Management in the Videogames Industry: A Systematic Literature Review,https://link.springer.com/article/10.1007/s40869-020-00118-0,04 December 2020,"Stephen Kelly, Vojtech Klézl, John Israilidis, Neil Malone, Stuart Butler","As industries mature, they rely more heavily on supply chain management (SCM) to ensure effective operations leading to greater levels of organisational performance. SCM has been widely covered in many industrial areas and, in line with other burgeoning sectors such as Tourism, an industry focus provides the opportunity to look in-depth at the context-based factors that affect SCM. Developments in digital distribution and rapid technological innovations have resulted in an increased focus on Digital Supply Chains (DSCs), which bring about significant changes to how consumers, customers, suppliers, and manufacturers interact, affecting supply chain design and processes. Through a systematic review of the Videogames Industry Supply Chain Management literature, which serves as a pertinent contextual example of a DSC, we look at how supply chains are affected by structural, market and technological change, such as increased platformisation, disintermediation and the proliferation of digital distribution. We distil these findings into a new research agenda, which identifies themes in line with extant DSC research, provides a series of relevant practice recommendations and identifies opportunities for future research."
From Videogames to Teaching — Different Camera Perspectives in an Interactive Synchronous Online Tutorial,https://link.springer.com/article/10.1007/s40670-023-01833-9,20 July 2023,"David Niklas Boten, Nils Daum, Thomas Schutz, Sebastian Spethmann","The global COVID-19 pandemic has required clinical skills training to be transferred to an online format. An interactive synchronous online tutorial with different camera perspectives was developed. In a survey, 79% of the students preferred the first-person perspective, which allowed students to view the abdominal examination through the examiner’s eyes."
"Response to ‘Postdigital Videogames Literacies: Thinking With, Through, and Beyond James Gee’s Learning Principles’ (Bacalja et al. 2024)",https://link.springer.com/article/10.1007/s42438-024-00508-x,10 October 2024,James Paul Gee,N/A
Motivation Outcomes in Math-Related Videogames,https://link.springer.com/article/10.1007/s10758-020-09450-w,13 June 2020,"Daniel L. Hoffman, Seungoh Paek, Zhou Zhou, Selen Türkay","This study examined the relationship between elementary students’ domain-specific and game-specific motivations in the context of educational videogames. Using a quasi-experimental design, thirty (N = 30) sixth grade students were assigned to two groups based on their level of motivation for the domain of math (higher math motivation vs. lower math motivation). They then played a videogame involving mathematics fifteen times over a two-week period. During this time, participants’ in-game performances were recorded, along with their levels of motivation for the videogame and the domain of math. The results showed that the participants played the game at the same level of skill regardless of their initial level of motivation for the domain of math. Similarly, participants expressed high levels of interest, effort, pressure, and value for the game despite their varied levels of math motivation. However, the two groups reported significantly different levels of perceived competence involving the videogame. Further still, participants with lower levels of motivation for math reported a significant decrease in their self-reported ability perceptions in math, which did not occur for participants with higher levels of motivation for math. The study concludes with a discussion of the relationship between learners’ domain-specific and game-specific motivations and the implications for future game-based learning research."
Students’ perceptions about the use the videogames in secondary education,https://link.springer.com/article/10.1007/s10639-020-10122-6,29 January 2020,"Verónica Marín-Díaz, Begoña E. Sampedro-Requena, Magdalena López-Pérez","Working with videogames in class is becoming a normal reality which truly depends on the vision that the teacher possesses about it. But what do receptive students really think about the education mediated by videogames? The current paper introduces the assessment that a group of students from Secondary Education has done (N = 207) about the usage of videogames in the classes. Also, it allows drawing the user profile that the direct-grant schools present. The method used has been descriptive and correlated developed by means of a questionnaire composed by 37 items. The main result obtained shows that the students from the first courses in this educational level are more given to the usage of videogames for their curricular development. Also, we found significant differences in the use of video games in favour of men. Moreover, it is highlighted the profile of low videogames consumer that these students have, questioning whether this will be determined by the type of school in which this research has been carried out. Thus, we present a line of study that links the vision of the videogames and the type of school in which they are studied, since this, among other aspects, is determined by the family purchasing power."
"Videogame training increases clinical well-being, attention and hippocampal-prefrontal functional connectivity in patients with schizophrenia",https://link.springer.com/article/10.1038/s41398-024-02945-5,28 May 2024,"Maxi Becker, Djo J. Fischer, Simone Kühn, Jürgen Gallinat","Recent research shows that videogame training enhances neuronal plasticity and cognitive improvements in healthy individuals. As patients with schizophrenia exhibit reduced neuronal plasticity linked to cognitive deficits and symptoms, we investigated whether videogame-related cognitive improvements and plasticity changes extend to this population. In a training study, patients with schizophrenia and healthy controls were randomly assigned to 3D or 2D platformer videogame training or E-book reading (active control) for 8 weeks, 30 min daily. After training, both videogame conditions showed significant increases in sustained attention compared to the control condition, correlated with increased functional connectivity in a hippocampal-prefrontal network. Notably, patients trained with videogames mostly improved in negative symptoms, general psychopathology, and perceived mental health recovery. Videogames, incorporating initiative, goal setting and gratification, offer a training approach closer to real life than current psychiatric treatments. Our results provide initial evidence that they may represent a possible adjunct therapeutic intervention for complex mental disorders."
Young videogamers and their approach to science inquiry,https://link.springer.com/article/10.1186/s40536-023-00178-4,31 July 2023,"Francesco Avvisati, Francesca Borgonovi","Written instructions seldom need to be read when playing videogames. Instead, gaming often involves early information foraging and expansive exploration behaviors. We use data from the Programme for International Student Assessment (PISA) to explore whether students who regularly play videogames (daily gamers) adopt behaviors that are typical of gaming while they complete a computer-based assessment of science and if such behaviors matter for performance in procedural science knowledge."
Toward emotional interactive videogames for children with autism spectrum disorder,https://link.springer.com/article/10.1007/s10209-020-00725-8,24 June 2020,"Sandra Baldassarri, Liliana Passerino, Silvia Ramis, Inma Riquelme, Francisco J. Perales","Technology and videogames have been proven as motivating tools for working attention and complex communication skills, especially in children with autism spectrum disorder (ASD). In this work, we present two experiences that used interactive games for promoting communication and attention. The first game considers emotions in order to measure children’s attention, concentration and satisfaction, while the second uses tangible tabletops for fostering cognitive planning. The analysis of the results obtained allows to propose a new study integrating both, in which the tangible interactive game is complemented with the emotional trainer in a way that allows identifying and classifying children’s emotion with ASD when they collaborate to solve cognitively significant and contextualized challenges. The first application proposed is an emotional trainer application in which the child can work out the seven basic emotions (happiness, sadness, fear, disgust, anger, surprise and neutral). Further, a serious videogame is proposed: a 3D maze where the emotions can be captured. The second case study was carried out in a Special Education Center, where a set of activities for working cognitive planning was proposed. In this case, a tangible interactive tabletop was used to analyze, in students with ASD, how the communication processes with these interfaces affect to the attention, memory, successive and simultaneous processing that compose cognitive planning from the PASS model. The results of the first study, suggest that the autistic children did not act with previous planning, but they used their perception to adjust their actions a posteriori (that explains the higher number of collisions). On the second case study, the successive processing was not explored. The inclusion of the mazes of case study 1 to a semantic rich scenario could allow us to measure the prior planning and the emotions involved in the maze game. The new physiological sensors will also help to validate the emotions felt by the children. The first study has as objective the capability to imitate emotions and resolve a maze without semantic context. The second study organized all the actions from a semantic context close to users. The attention results presented by the second study are coherent with the first study and complement it showing that attention can be receptive or selective. In the first study case, the receptive attention was the focus of analysis. In the second case, both contributed to explain and understand how it can be developed from a videogame."
Exploring Consumer Detriment in Immersive Gaming Technologies,https://link.springer.com/article/10.1007/s10603-023-09544-9,05 July 2023,"R. Hyde, P. Cartwright",N/A
"Do Patterns of Adolescent Participation in Arts, Culture and Entertainment Activities Predict Later Wellbeing? A Latent Class Analysis",https://link.springer.com/article/10.1007/s10964-024-01950-7,11 March 2024,"Emma Thornton, Kimberly Petersen, Jose Marquez, Neil Humphrey",N/A
Unravelling cognitive processing of in-game brands using eye tracking and electroencephalography: incongruence fosters it,https://link.springer.com/article/10.1007/s12144-023-04970-x,14 July 2023,"Irene Aliagas, Jesús Privado, Mª Dolores Merino","Videogames have become the world’s favorite pastime, which is why brands integrate their logos on them, a technique called product placement. While most research has focused on analyzing whether brands are memorized based on their presentation within the videogame, little is known about how they are perceived and cognitively processed. This article analyzes whether attention and cognitive load from the placement and the videogame mediate the relationship between prominence, congruence, and familiarity of the brands and their memorization. A preliminary study made it possible to find the brands to be placed (n = 180), while the main study was experimental (n = 160), with prominence and congruence as between-subject factors and familiarity as a within-subject factor. Applying eye tracking and electroencephalogram, the results indicate that when the brand inserted via product placement is incongruent with the videogame genre, it will draw attention, demand cognitive resources, and will be more likely to be remembered and recognized. This would happen with both familiar and unfamiliar brands, and all of this without prominence influencing the process. These findings suggest that incongruent in-game brands would be the first game elements to be cognitively processed, even when they are irrelevant to game achievement."
Between death and suffering: resolving the gamer’s dilemma,https://link.springer.com/article/10.1007/s10676-023-09711-z,07 July 2023,"Thomas Coghlan, Damian Cox","The gamer’s dilemma, initially proposed by Luck (Ethics and Information Technology 11(1):31–36, 2009) posits a moral comparison between in-game acts of murder and in-game acts of paedophilia within single-player videogames. Despite each activity lacking the obvious harms of their real-world equivalents, common intuitions suggest an important difference between them. Some responses to the dilemma suggest that intuitive responses to the two cases are based on important differences between the acts themselves or their social meaning. Others challenge the fundamental assumptions of the dilemma. In this paper, we identify and explore key imaginative and emotional differences in how certain types of in-game violence are experienced by players, consider how these differences factor into the moral lives of players, and use these insights to resolve the dilemma. The view we develop is that the key moral emotion in offensive video gameplay is self-repugnance. This is not repugnance of the act one directs a game character to perform in the game, nor repugnance of the character one plays. It is repugnance of oneself in playing the game. If self-repugnance is a fitting emotional response to playing a videogame, then this is prima facie grounds for thinking it is wrong to play the videogame. Our approach to the gamer’s dilemma is to distinguish the fittingness conditions of self-repugnance from the fittingness conditions of other moral emotions as they pertain to playing videogames. We argue that because of the virtual character of the actions performed in video games, self-repugnance is a fitting response to particular kinds of offensive gameplay. On the other hand, in-game murder is not invariably a fitting ground for self-repugnance. We argue that this difference is grounded in imaginative responses to the harm of death and the harms of profound suffering. Our task is to explain and justify this difference in fittingness conditions and use this to resolve the gamer’s dilemma."
Systematic literature review of digital resources to educate on gender equality,https://link.springer.com/article/10.1007/s10639-022-11574-8,02 February 2023,"Alma Gloria Barrera Yañez, Cristina Alonso-Fernández, Baltasar Fernández-Manjón","Violence and discrimination against women are serious problems that affect today's society regardless of culture or social environment. Educational and government programs addressing these gender issues are difficult to scale up, insufficient or, in some cases, nonexistent. Digital resources can contribute to address discrimination against women and different technological initiatives are being carried out around the world. Videogames and digital resources have proven their effectiveness as tools to educate, prevent and raise awareness about social problems. This article presents a systematic literature review of digital resources such as videogames, apps and simulations that address gender issues including violence and stereotypes. Throughout the review, we analyze multiple characteristics of the resources found (development tools, platforms, location, target audience) to classify the studies found. The main goal of this review is to present the status of gender-focused digital resources, their evaluation studies, including the metrics used and samples, as well as the acceptance and impact of their application. Most of the studies reviewed aimed to raise awareness about gender-based violence using serious games targeted at teenagers. For the resources evaluated, pre-post questionnaires were commonly used. However, many of the projects reviewed did not have evaluation studies or the resources were not openly available, thus limiting their massive application and their potential impact on society. We consider that our results provide a starting point to better understand the role of digital resources in raising awareness about gender issues, highlighting their current limitations, and providing recommendations for future research in gender-based digital resources."
Measuring morality in videogames research,https://link.springer.com/article/10.1007/s10676-019-09515-0,10 October 2019,"Malcolm Ryan, Paul Formosa, Stephanie Howarth, Dan Staines","There has been a recent surge of research interest in videogames of moral engagement for entertainment, advocacy and education. We have seen a wealth of analysis and several theoretical models proposed, but experimental evaluation has been scarce. One of the difficulties lies in the measurement of moral engagement. How do we meaningfully measure whether players are engaging with and affected by the moral choices in the games they play? In this paper, we survey the various standard psychometric instruments from the moral psychology literature and discuss how they might be applied in the evaluation of games."
